variable_group	variable_subtype_list	public_facing_name	symbology_colormap_type	symbology_colormap	symbology_min_value	symbology_max_value	symbology_fixed_value_list
HKE_annual	['PGW', 'REF']	Hail Damage Potential	Sequential Yellow-Violet Light-to-Dark	cmo.matter	0.0	1.8	--
HKE_annual	['PGW_minus_REF']	Hail Damage Potential	Diverging Cool-to-Warm	cmo.balance	-0.9	0.9	--
ari_exceed	['ctrl_199707', 'ctrl_199904_19990428_12Z_to_19990429_12Z', 'ctrl_199904_19990429_12Z_to_19990430_12Z', 'ctrl_199904_19990430_12Z_to_19990501_12Z', 'ctrl_201309_20130909_12Z_to_20130910_12Z', 'ctrl_201309_20130910_12Z_to_20130911_12Z', 'ctrl_201309_20130911_12Z_to_20130912_12Z', 'ctrl_201309_20130912_12Z_to_20130913_12Z', 'ctrl_201309_20130913_12Z_to_20130914_12Z', 'ctrl_201309_20130914_12Z_to_20130915_12Z', 'ctrl_201309_7day', 'ctrl_202107', 'pgw_199707', 'pgw_199904_19990428_12Z_to_19990429_12Z', 'pgw_199904_19990429_12Z_to_19990430_12Z', 'pgw_199904_19990430_12Z_to_19990501_12Z', 'pgw_201309_20130909_12Z_to_20130910_12Z', 'pgw_201309_20130910_12Z_to_20130911_12Z', 'pgw_201309_20130911_12Z_to_20130912_12Z', 'pgw_201309_20130912_12Z_to_20130913_12Z', 'pgw_201309_20130913_12Z_to_20130914_12Z', 'pgw_201309_20130914_12Z_to_20130915_12Z', 'pgw_201309_7day', 'pgw_202107']	Precipitation exceeding an Average Recurrence Interval during flood event	ARI Categorical (special)	esherman_ari_categorical	--	--	[0,1,10,25,50,100,1000]
precip_accum	['ctrl_199707', 'ctrl_199904_19990428_12Z_to_19990429_12Z', 'ctrl_199904_19990429_12Z_to_19990430_12Z', 'ctrl_199904_19990430_12Z_to_19990501_12Z', 'ctrl_201309_20130909_12Z_to_20130910_12Z', 'ctrl_201309_20130910_12Z_to_20130911_12Z', 'ctrl_201309_20130911_12Z_to_20130912_12Z', 'ctrl_201309_20130912_12Z_to_20130913_12Z', 'ctrl_201309_20130913_12Z_to_20130914_12Z', 'ctrl_201309_20130914_12Z_to_20130915_12Z', 'ctrl_201309_7day', 'ctrl_202107', 'pgw_199707', 'pgw_199904_19990428_12Z_to_19990429_12Z', 'pgw_199904_19990429_12Z_to_19990430_12Z', 'pgw_199904_19990430_12Z_to_19990501_12Z', 'pgw_201309_20130909_12Z_to_20130910_12Z', 'pgw_201309_20130910_12Z_to_20130911_12Z', 'pgw_201309_20130911_12Z_to_20130912_12Z', 'pgw_201309_20130912_12Z_to_20130913_12Z', 'pgw_201309_20130913_12Z_to_20130914_12Z', 'pgw_201309_20130914_12Z_to_20130915_12Z', 'pgw_201309_7day', 'pgw_202107']	Accumulated precipitation during flood event	Multicolor Dry-to-Wet with High-Value Emphasis (Sequential+)	esherman_extreme_precip	0	250	--
GRAUPEL	['sum_mean_CTL_MAMJJAS', 'sum_mean_PGW_MAMJJAS']	Total Accumulated Graupel 	Sequential Precip Light-to-Dark	cmo.deep	0	0.3	--
GRAUPEL	['sum_nonzero_mean_CTL_MAMJJAS', 'sum_nonzero_mean_CTL_MJJA', 'sum_nonzero_mean_PGW_MAMJJAS', 'sum_nonzero_mean_PGW_MJJA']	Total Accumulated Graupel 	Sequential Precip Light-to-Dark	cmo.deep	0	1.2	--
GRAUPEL	['sum_nonzero_diff_PGW_minus_CTL_MAMJJAS', 'sum_nonzero_diff_PGW_minus_CTL_MJJA']	Total Accumulated Graupel 	Diverging Cool-to-Warm	cmo.balance	-200	200	--
GRAUPEL	['sum_diff_PGW_minus_CTL_MAMJJAS']	Total Accumulated Graupel 	Diverging Cool-to-Warm	cmo.balance	-70	70	--
HaildaysG	['total_CTL_MAMJJAS', 'total_PGW_MAMJJAS']	Hail Days Estimated from Graupel Amount	Sequential Green-Blue Light-to-Dark	cmo.deep	0	2	--
HaildaysG	['diff_PGW_minus_CTL_MAMJJAS']	Hail Days Estimated from Graupel Amount	Diverging Cool-to-Warm	cmo.balance	-2	2	--
HaildaysW	['total_CTL_MAMJJAS', 'total_PGW_MAMJJAS']	Hail Days Estimated from Updraft Strength 	Sequential Green-Blue Light-to-Dark	cmo.deep	0	7	--
HaildaysW	['diff_PGW_minus_CTL_MAMJJAS']	Hail Days Estimated from Updraft Strength 	Diverging Cool-to-Warm	cmo.balance	-7	7	--
MLCAPE3pm	['mean_CTL_MAMJJAS', 'mean_PGW_MAMJJAS']	Potential Energy Available for Thunderstorm Development 	Sequential Yellow-Violet Light-to-Dark	cmo.matter	0	400	--
MLCAPE3pm	['diff_PGW_minus_CTL_MAMJJAS']	Potential Energy Available for Thunderstorm Development 	Diverging Cool-to-Warm	cmo.balance	-50	50	--
MLCINH3pm	['mean_CTL_MAMJJAS', 'mean_PGW_MAMJJAS']	Amount of Energy Needed to Lead to Thunderstorm Development 	Sequential Yellow-Violet Light-to-Dark	cmo.matter_r	-25	0	--
MLCINH3pm	['diff_PGW_minus_CTL_MAMJJAS']	Amount of Energy Needed to Lead to Thunderstorm Development 	Diverging Cool-to-Warm	cmo.balance	-35	35	--
Qice	['mean_CTL_MAMJJAS', 'mean_PGW_MAMJJAS']	Total Ice in the Atmosphere	Sequential Precip Light-to-Dark	cmo.deep	0	0.18	--
Qice	['diff_PGW_minus_CTL_MAMJJAS']	Total Ice in the Atmosphere	Diverging Cool-to-Warm	cmo.balance	-10	10	--
Mxdbz	['climo_Adiff_PGW_minus_CTL_MAMJJAS']	Extreme Values of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-1.0	1.0	--
Mxdbz	['climo_Pdiff_PGW_minus_CTL_MAMJJAS']	Extreme Values of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-5	5	--
Mxdbz	['p95_Adiff_PGW_minus_CTL_MAMJJAS']	Extreme Values of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-4	4	--
Mxdbz	['p95_Pdiff_PGW_minus_CTL_MAMJJAS']	Extreme Values of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-8	8	--
Mxdbz	['mean_CTL_MAMJJAS', 'mean_PGW_MAMJJAS']	Extreme Values of Reflectivity	Sequential Yellow-Violet Light-to-Dark	cmo.matter	23	28	--
Mxdbz	['p95_max_CTL_MAMJJAS', 'p95_max_PGW_MAMJJAS']	Extreme Values of Reflectivity	Sequential Yellow-Violet Light-to-Dark	cmo.matter	40	50	--
Mxdbzh	['climo_Adiff_PGW_minus_CTL_MAMJJAS']	Extreme Values in Height of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-220	220	--
Mxdbzh	['climo_Pdiff_PGW_minus_CTL_MAMJJAS']	Extreme Values in Height of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-30	30	--
Mxdbzh	['p95_Adiff_PGW_minus_CTL_MAMJJAS']	Extreme Values in Height of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-1000	1000	--
Mxdbzh	['p95_Pdiff_PGW_minus_CTL_MAMJJAS']	Extreme Values in Height of Reflectivity	Diverging Cool-to-Warm	cmo.balance	-30	30	--
Mxdbzh	['mean_CTL_MAMJJAS', 'mean_PGW_MAMJJAS']	Extreme Values in Height of Reflectivity	Sequential Yellow-Violet Light-to-Dark	cmo.matter	350	2700	--
Mxdbzh	['p95_max_CTL_MAMJJAS', 'p95_max_PGW_MAMJJAS']	Extreme Values in Height of Reflectivity	Sequential Yellow-Violet Light-to-Dark	cmo.matter	2600	7000	--
Mxht	['00_climo_Adiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Diverging Cool-to-Warm	cmo.balance	-325	325	--
Mxht	['00_climo_Pdiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Diverging Cool-to-Warm	cmo.balance	-12	12	--
Mxht	['00_p95_Adiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Diverging Cool-to-Warm	cmo.balance	-1000	1000	--
Mxht	['00_p95_Pdiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Diverging Cool-to-Warm	cmo.balance	-13	13	--
Mxht	['00_mean_CTL_MAMJJAS', '00_mean_PGW_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Sequential Yellow-Violet Light-to-Dark	cmo.matter	2000	5500	--
Mxht	['p95_00_max_CTL_MAMJJAS', 'p95_00_max_PGW_MAMJJAS']	Thunderstorm Top Height (Low Reflectivity/Cloud Top)	Sequential Yellow-Violet Light-to-Dark	cmo.matter	6500	11000	--
Mxht	['30_climo_Adiff_PGW_minus_CTL_MAMJJAS', '35_climo_Adiff_PGW_minus_CTL_MAMJJAS', '40_climo_Adiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Diverging Cool-to-Warm	cmo.balance	-450	450	--
Mxht	['30_climo_Pdiff_PGW_minus_CTL_MAMJJAS', '35_climo_Pdiff_PGW_minus_CTL_MAMJJAS', '40_climo_Pdiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Diverging Cool-to-Warm	cmo.balance	-40	40	--
Mxht	['30_p95_Adiff_PGW_minus_CTL_MAMJJAS', '35_p95_Adiff_PGW_minus_CTL_MAMJJAS', '40_p95_Adiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Diverging Cool-to-Warm	cmo.balance	-2500	2500	--
Mxht	['30_p95_Pdiff_PGW_minus_CTL_MAMJJAS', '35_p95_Pdiff_PGW_minus_CTL_MAMJJAS', '40_p95_Pdiff_PGW_minus_CTL_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Diverging Cool-to-Warm	cmo.balance	-60	60	--
Mxht	['30_mean_CTL_MAMJJAS', '35_mean_CTL_MAMJJAS', '40_mean_CTL_MAMJJAS', '30_mean_PGW_MAMJJAS', '35_mean_PGW_MAMJJAS', '40_mean_PGW_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Sequential Yellow-Violet Light-to-Dark	cmo.matter	800	3500	--
Mxht	['p95_30_max_CTL_MAMJJAS', 'p95_35_max_CTL_MAMJJAS', 'p95_40_max_CTL_MAMJJAS', 'p95_30_max_PGW_MAMJJAS', 'p95_35_max_PGW_MAMJJAS', 'p95_40_max_PGW_MAMJJAS']	Thunderstorm Top Height (Higher Reflectivity/Precipitation Core)	Sequential Yellow-Violet Light-to-Dark	cmo.matter	2000	10000	--
refl_diff	['apr-sep_freq0_10', 'apr-sep_freq10_20', 'JA_freq0_10', 'JA_freq10_20', 'MJ_freq0_10', 'MJ_freq10_20']	Reflectivity occurences by intensity	Diverging Cool-to-Warm	cmo.balance	-32	32	--
refl_diff	['apr-sep_freq20_30', 'apr-sep_freq30_40', 'JA_freq20_30', 'JA_freq30_40', 'MJ_freq20_30', 'MJ_freq30_40']	Reflectivity occurences by intensity	Diverging Cool-to-Warm	cmo.balance	-12	12	--
refl_diff	['apr-sep_freq40_50', 'apr-sep_freq50plus', 'JA_freq40_50', 'JA_freq50plus', 'MJ_freq40_50', 'MJ_freq50plus']	Reflectivity occurences by intensity	Diverging Cool-to-Warm	cmo.balance	-6	6	--
snow_fraction	['absolute_apr', 'absolute_dec', 'absolute_feb', 'absolute_jan', 'absolute_mar', 'absolute_nov', 'absolute_oct', 'absolute_sep']	Fraction of total precipitation that falls as snow	Diverging Dry-to-Wet	updated_wetdry_r	-25	25	--
snow_fraction	['relative_apr', 'relative_dec', 'relative_feb', 'relative_jan', 'relative_mar', 'relative_nov', 'relative_oct', 'relative_sep']	Fraction of total precipitation that falls as snow	Diverging Dry-to-Wet	updated_wetdry_r	-100	100	--
cv	['10m_GWL20C_SON_actual_values', '10m_GWL20C_DJF_actual_values', '10m_GWL20C_MAM_actual_values', '10m_GWL20C_JJA_actual_values', '10m_GWL20C_ANN_actual_values', '10m_GWL11C_SON_actual_values', '10m_GWL11C_DJF_actual_values', '10m_GWL11C_MAM_actual_values', '10m_GWL11C_JJA_actual_values', '10m_GWL11C_ANN_actual_values', '10m_GWL15C_SON_actual_values', '10m_GWL15C_DJF_actual_values', '10m_GWL15C_MAM_actual_values', '10m_GWL15C_JJA_actual_values', '10m_GWL15C_ANN_actual_values', '10m_hist_SON_actual_values', '10m_hist_DJF_actual_values', '10m_hist_MAM_actual_values', '10m_hist_JJA_actual_values', '10m_hist_ANN_actual_values', '10m_GWL25C_SON_actual_values', '10m_GWL25C_DJF_actual_values', '10m_GWL25C_MAM_actual_values', '10m_GWL25C_JJA_actual_values', '10m_GWL25C_ANN_actual_values', '100m_GWL25C_SON_actual_values', '100m_GWL25C_DJF_actual_values', '100m_GWL25C_MAM_actual_values', '100m_GWL25C_JJA_actual_values', '100m_GWL25C_ANN_actual_values', '100m_hist_SON_actual_values', '100m_hist_DJF_actual_values', '100m_hist_MAM_actual_values', '100m_hist_JJA_actual_values', '100m_hist_ANN_actual_values', '100m_GWL15C_SON_actual_values', '100m_GWL15C_DJF_actual_values', '100m_GWL15C_MAM_actual_values', '100m_GWL15C_JJA_actual_values', '100m_GWL15C_ANN_actual_values', '100m_GWL11C_SON_actual_values', '100m_GWL11C_DJF_actual_values', '100m_GWL11C_MAM_actual_values', '100m_GWL11C_JJA_actual_values', '100m_GWL11C_ANN_actual_values', '100m_GWL20C_SON_actual_values', '100m_GWL20C_DJF_actual_values', '100m_GWL20C_MAM_actual_values', '100m_GWL20C_JJA_actual_values', '100m_GWL20C_ANN_actual_values']	Wind Variability	Sequential Speed Light-to-Dark	cmo.speed	0	1.0	--
cv	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Wind Variability	Diverging Cool-to-Warm	cmo.balance	-0.025	0.025	--
FD	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Frost Days	Diverging Cool-to-Warm	cmo.balance	-40	40	--
FD	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Frost Days	Sequential White-Blue-Purple Light-to-Dark	updated_govoffice_cold	45	260	--
GSL	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Growing Season Length	Sequential Teal Light-to-Dark	updated_govoffice_rain	0	40	--
GSL	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Growing Season Length	Sequential White-Blue-Purple Light-to-Dark	updated_govoffice_cold	75	325	--
FWSL	['hist_actual_values', 'GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values']	Fire Season Length	Sequential Yellow-Violet Light-to-Dark	updated_govoffice_fire	30	200	--
SSR	['hist_actual_values', 'GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values']	Fire Season Severity	Sequential Yellow-Violet Light-to-Dark	updated_govoffice_fire	0	120	--
FWI_X95p	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values']	Extreme Fire-Weather Days	Sequential Yellow-Violet Light-to-Dark	updated_govoffice_fire	18	83	--
FWI_mean	['hist_actual_values', 'GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values']	Average Fire Danger	Sequential Yellow-Violet Light-to-Dark	updated_govoffice_fire	5	75	--
EFFIS	['hist', 'GWL11C', 'GWL15C', 'GWL20C', 'GWL25C']	Fire Danger Level	EFFIS Categorical (special)	weichenl_effis_categorical	--	--	['Low', 'Moderate', 'High', 'Very High', 'Extreme']
pct_change_Aridity	['GWL11C_D1_timescale_1months', 'GWL15C_D1_timescale_1months', 'GWL20C_D1_timescale_1months', 'GWL25C_D1_timescale_1months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-60	60	--
pct_change_Aridity	['GWL11C_D1_timescale_3months', 'GWL15C_D1_timescale_3months', 'GWL20C_D1_timescale_3months', 'GWL25C_D1_timescale_3months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-90	90	--
pct_change_Aridity	['GWL11C_D1_timescale_6months', 'GWL15C_D1_timescale_6months', 'GWL20C_D1_timescale_6months', 'GWL25C_D1_timescale_6months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-120	120	--
pct_change_Aridity	['GWL11C_D1_timescale_12months', 'GWL15C_D1_timescale_12months', 'GWL20C_D1_timescale_12months', 'GWL25C_D1_timescale_12months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-180	180	--
pct_change_Aridity	['GWL11C_D1_timescale_24months', 'GWL15C_D1_timescale_24months', 'GWL20C_D1_timescale_24months', 'GWL25C_D1_timescale_24months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-240	240	--
pct_change_Aridity	['GWL11C_D2_timescale_1months', 'GWL15C_D2_timescale_1months', 'GWL20C_D2_timescale_1months', 'GWL25C_D2_timescale_1months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-80	80	--
pct_change_Aridity	['GWL11C_D2_timescale_3months', 'GWL15C_D2_timescale_3months', 'GWL20C_D2_timescale_3months', 'GWL25C_D2_timescale_3months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-140	140	--
pct_change_Aridity	['GWL11C_D2_timescale_6months', 'GWL15C_D2_timescale_6months', 'GWL20C_D2_timescale_6months', 'GWL25C_D2_timescale_6months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-190	190	--
pct_change_Aridity	['GWL11C_D2_timescale_12months', 'GWL15C_D2_timescale_12months', 'GWL20C_D2_timescale_12months', 'GWL25C_D2_timescale_12months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-260	260	--
pct_change_Aridity	['GWL11C_D2_timescale_24months', 'GWL15C_D2_timescale_24months', 'GWL20C_D2_timescale_24months', 'GWL25C_D2_timescale_24months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-400	400	--
pct_change_Aridity	['GWL11C_D3_timescale_1months', 'GWL15C_D3_timescale_1months', 'GWL20C_D3_timescale_1months', 'GWL25C_D3_timescale_1months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-110	110	--
pct_change_Aridity	['GWL11C_D3_timescale_3months', 'GWL15C_D3_timescale_3months', 'GWL20C_D3_timescale_3months', 'GWL25C_D3_timescale_3months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-190	190	--
pct_change_Aridity	['GWL11C_D3_timescale_6months', 'GWL15C_D3_timescale_6months', 'GWL20C_D3_timescale_6months', 'GWL25C_D3_timescale_6months']	Change in Drought Exposure (Includes Temperature Influence)	Diverging Wet-to-Dry	updated_wetdry	-260	260	--
